date,restaurant,planned_hours,actual_hours,budget,sells
2016-01-01,Copacabana,141,176,4025.65,2801.33
2016-01-01,Noodle Bar,108,76,2455.75,3875.81
2016-01-01,Jack Rabbit,30,156,116.99,3967.95
2016-01-02,Copacabana,189,135,611.8,197.57
2016-01-02,Noodle Bar,136,205,684.13,1720.22
2016-01-02,Jack Rabbit,157,275,1251.1,2676.46
2016-01-03,Copacabana,236,276,4516.81,4035.43
2016-01-03,Noodle Bar,21,0,823.98,2402.95
2016-01-03,Jack Rabbit,298,124,2969.41,1760.33
2016-01-04,Copacabana,17,131,3801.62,3046.27
2016-01-04,Noodle Bar,92,193,3064.78,1026.34
2016-01-04,Jack Rabbit,32,75,1388.11,4475.01
2016-01-05,Copacabana,57,71,3882.27,2397.46
2016-01-05,Noodle Bar,115,262,57.65,1819.07
2016-01-05,Jack Rabbit,260,14,3867.94,4808.68
2016-01-06,Copacabana,287,60,2802.69,3091.03
2016-01-06,Noodle Bar,136,79,2081.31,3323.37
2016-01-06,Jack Rabbit,66,268,4197.55,730.63
2016-01-07,Copacabana,291,114,410.33,2117.47
2016-01-07,Noodle Bar,61,42,4605.54,2373.12
2016-01-07,Jack Rabbit,40,45,3274.86,2839.28
2016-01-08,Copacabana,274,149,4501.5,3561.09
2016-01-08,Noodle Bar,138,80,2882.74,2563.81
2016-01-08,Jack Rabbit,296,277,72.11,3625.33
2016-01-09,Copacabana,71,163,289.1,3770.76
2016-01-09,Noodle Bar,119,142,2326.31,1384.69
2016-01-09,Jack Rabbit,135,71,4042.36,3513.34
2016-01-10,Copacabana,183,286,75.44,3643.2
2016-01-10,Noodle Bar,240,127,2148.97,2819.97
2016-01-10,Jack Rabbit,28,9,3528.3,2819.32
2016-01-11,Copacabana,127,245,4131.92,1120.08
2016-01-11,Noodle Bar,230,55,3957.24,1724.72
2016-01-11,Jack Rabbit,271,32,2158.58,3199.41
2016-01-12,Copacabana,223,215,3670.36,2488.36
2016-01-12,Noodle Bar,275,58,153.2,3628.73
2016-01-12,Jack Rabbit,105,250,2143.05,1384.67
2016-01-13,Copacabana,193,263,1664.83,1679.75
2016-01-13,Noodle Bar,19,135,1889.22,3966.92
2016-01-13,Jack Rabbit,293,194,4327.98,3270.09
2016-01-14,Copacabana,144,252,272.25,3310.07
2016-01-14,Noodle Bar,84,221,4347.02,2823.52
2016-01-14,Jack Rabbit,26,295,1906.81,3882.35
2016-01-15,Copacabana,175,170,2273.53,4934.94
2016-01-15,Noodle Bar,158,216,705.16,372.65
2016-01-15,Jack Rabbit,108,72,1146.83,1731.94
2016-01-16,Copacabana,43,20,3180.38,2199.44
2016-01-16,Noodle Bar,243,103,2348.62,388.91
2016-01-16,Jack Rabbit,46,206,4584.88,1356.61
2016-01-17,Copacabana,145,53,4772.48,2624.13
2016-01-17,Noodle Bar,57,252,952.18,4198.68
2016-01-17,Jack Rabbit,62,181,2352.04,1994.89
2016-01-18,Copacabana,228,263,2686.36,3494.99
2016-01-18,Noodle Bar,50,90,2018.45,2818.47
2016-01-18,Jack Rabbit,218,276,1986.81,3329.19
2016-01-19,Copacabana,124,147,1570.7,2205.37
2016-01-19,Noodle Bar,189,124,1198.82,4820.86
2016-01-19,Jack Rabbit,57,149,2543.72,137.58
2016-01-20,Copacabana,231,182,1489.83,2011.55
2016-01-20,Noodle Bar,4,49,3905.28,1680.92
2016-01-20,Jack Rabbit,148,94,1809.96,1828.7
2016-01-21,Copacabana,182,153,4234.5,1175.45
2016-01-21,Noodle Bar,152,255,3006.2,1944.71
2016-01-21,Jack Rabbit,264,281,501.97,4357.12
2016-01-22,Copacabana,141,150,4387.49,450.99
2016-01-22,Noodle Bar,137,117,4527.93,3104.1
2016-01-22,Jack Rabbit,241,243,1228.93,2415.99
2016-01-23,Copacabana,246,133,1176.39,2799.42
2016-01-23,Noodle Bar,300,118,2370.82,6.65
2016-01-23,Jack Rabbit,48,147,653.65,4273.99
2016-01-24,Copacabana,212,89,2816.41,3458.75
2016-01-24,Noodle Bar,181,31,791.38,3095.37
2016-01-24,Jack Rabbit,130,76,4722.94,3129.02
2016-01-25,Copacabana,97,73,2590.98,1371.93
2016-01-25,Noodle Bar,151,31,2402.31,1539.66
2016-01-25,Jack Rabbit,214,161,3856.65,4176.65
2016-01-26,Copacabana,155,299,3533.6,1757.11
2016-01-26,Noodle Bar,192,113,4541.66,717.76
2016-01-26,Jack Rabbit,7,133,358.26,1308.85
2016-01-27,Copacabana,23,194,2841.99,3770.85
2016-01-27,Noodle Bar,219,181,1641.5,3039.14
2016-01-27,Jack Rabbit,169,244,2845.82,3819.01
2016-01-28,Copacabana,134,31,2127.56,332.33
2016-01-28,Noodle Bar,171,90,4249.15,1006.82
2016-01-28,Jack Rabbit,289,171,3079.51,3109.88
2016-01-29,Copacabana,264,5,862.28,1590.43
2016-01-29,Noodle Bar,234,65,4147.04,65.02
2016-01-29,Jack Rabbit,289,15,301.73,971.12
2016-01-30,Copacabana,289,97,4493.0,3572.71
2016-01-30,Noodle Bar,118,269,645.09,1969.48
2016-01-30,Jack Rabbit,113,128,3436.65,2892.72
2016-01-31,Copacabana,188,79,947.43,2155.25
2016-01-31,Noodle Bar,159,69,4587.11,4335.24
2016-01-31,Jack Rabbit,155,123,2640.07,2407.32
2016-02-01,Copacabana,40,198,3635.95,1825.95
2016-02-01,Noodle Bar,40,108,1341.77,981.7
2016-02-01,Jack Rabbit,143,152,1489.65,1634.71
2016-02-02,Copacabana,28,257,1266.49,3141.33
2016-02-02,Noodle Bar,159,161,4851.85,3167.63
2016-02-02,Jack Rabbit,20,177,1201.93,2738.16
2016-02-03,Copacabana,20,230,4857.39,4369.85
2016-02-03,Noodle Bar,191,288,1243.85,539.6
2016-02-03,Jack Rabbit,139,149,28.19,2022.0
2016-02-04,Copacabana,14,119,2044.79,4566.22
2016-02-04,Noodle Bar,299,298,1951.58,1106.26
2016-02-04,Jack Rabbit,280,23,549.11,486.94
2016-02-05,Copacabana,9,62,1316.38,432.23
2016-02-05,Noodle Bar,133,171,505.78,3402.62
2016-02-05,Jack Rabbit,226,45,81.58,2318.14
2016-02-06,Copacabana,189,244,2570.26,3162.4
2016-02-06,Noodle Bar,263,103,1049.65,190.89
2016-02-06,Jack Rabbit,193,148,4894.62,1714.14
2016-02-07,Copacabana,9,48,2873.54,198.69
2016-02-07,Noodle Bar,154,194,511.13,4285.13
2016-02-07,Jack Rabbit,266,232,1462.48,3912.55
2016-02-08,Copacabana,277,253,776.16,622.34
2016-02-08,Noodle Bar,1,212,810.77,2414.73
2016-02-08,Jack Rabbit,15,118,3343.32,4044.17
2016-02-09,Copacabana,106,128,4364.74,985.79
2016-02-09,Noodle Bar,145,57,3882.42,4338.77
2016-02-09,Jack Rabbit,205,49,1689.64,1061.09
2016-02-10,Copacabana,257,293,1932.92,3768.22
2016-02-10,Noodle Bar,3,300,1042.41,2275.67
2016-02-10,Jack Rabbit,51,144,4444.61,3499.2
2016-02-11,Copacabana,106,111,772.12,1335.71
2016-02-11,Noodle Bar,144,75,3544.84,1557.14
2016-02-11,Jack Rabbit,27,279,4063.11,4412.22
2016-02-12,Copacabana,286,276,2079.83,4322.15
2016-02-12,Noodle Bar,157,3,2610.81,2756.46
2016-02-12,Jack Rabbit,118,20,2678.89,1065.0
2016-02-13,Copacabana,273,250,4859.56,1507.0
2016-02-13,Noodle Bar,269,193,2934.58,715.32
2016-02-13,Jack Rabbit,197,105,375.33,1124.46
2016-02-14,Copacabana,228,246,4502.74,1733.4
2016-02-14,Noodle Bar,88,112,4694.44,282.93
2016-02-14,Jack Rabbit,130,249,1425.96,2554.74
2016-02-15,Copacabana,70,269,746.85,4934.56
2016-02-15,Noodle Bar,176,203,4674.43,2604.6
2016-02-15,Jack Rabbit,38,94,3568.04,4350.3
2016-02-16,Copacabana,92,27,4591.53,4820.47
2016-02-16,Noodle Bar,131,176,3498.15,4385.9
2016-02-16,Jack Rabbit,274,140,1216.7,2143.48
2016-02-17,Copacabana,102,104,2379.07,4287.1
2016-02-17,Noodle Bar,268,139,1573.34,4778.46
